No;rgb_b1;rgb_b2;rgb_b3;green_b1;green_b2;ndvi_b1;nir_b1;nir_b2;red_b1;red_b2;redEdge_b1;redEdge_b2;Label
116;1.553.458.824;1.503.128.028;1.366.698.962;1.588.721.592;2.522.138.408;10.452.794;2.316.816.484;2.522.138.408;1.064.910.464;2.522.138.408;2.354.490.159;2.522.138.408;3
117;158.749.481;1.542.798.616;1.417.389.619;1.552.548.844;2.522.138.408;10.560.327;2.409.300.014;2.522.138.408;981.759.917;2.522.138.408;242.646.328;2.522.138.408;3
119;1.323.576.471;1.387.838.062;1.075.231.834;2.023.868.042;2.522.138.408;10.333.706;2.883.323.945;2.522.138.408;1.327.642.353;2.522.138.408;2.980.930.713;2.522.138.408;3
120;1.287.028.374;1.345.624.913;1.049.180.623;1.454.011.931;2.522.138.408;10.593.365;3.065.104.969;2.522.138.408;9.103.838.339;2.522.138.408;2.905.373.412;2.522.138.408;3
121;133.643.737;1.344.370.934;1.139.191.696;1.416.791.142;2.522.138.408;10.554.952;2.521.866.311;2.522.138.408;9.486.349.758;2.522.138.408;2.394.584.277;2.522.138.408;3
122;1.444.842.907;1.421.738.408;1.241.764.706;1.440.259.612;2.522.138.408;10.509.855;2.312.460.664;2.522.138.408;9.786.781.176;2.522.138.408;2.227.027.557;2.522.138.408;3
123;1.474.419.377;1.447.970.934;1.291.342.561;1.499.079.266;2.522.138.408;10.496.539;2.395.170.962;2.522.138.408;1.000.093.689;2.522.138.408;231.804.036;2.522.138.408;3
124;1.502.130.104;1.489.299.654;1.342.408.304;1.547.209.163;2.522.138.408;10.536.154;2.719.670.201;2.522.138.408;9.905.640.138;2.522.138.408;266.138.609;2.522.138.408;3
125;1.497.634.602;1.504.341.869;1.351.791.003;1.556.765.287;2.522.138.408;10.572.782;2.910.821.813;2.522.138.408;9.696.602.076;2.522.138.408;2.918.697.716;2.522.138.408;3
127;149.553.218;1.512.733.564;1.340.513.495;1.556.450.851;2.522.138.408;10.549.738;2.858.208.498;2.522.138.408;9.739.886.505;2.522.138.408;2.936.408.166;2.522.138.408;3
128;1.502.292.042;151.887.474;1.338.416.609;1.570.495.322;2.522.138.408;10.567.739;2.876.204.913;2.522.138.408;9.758.677.232;2.522.138.408;289.195.982;2.522.138.408;3
129;1.510.202.076;1.525.114.187;1.332.646.367;1.600.341.924;2.522.138.408;10.503.038;2.601.890.298;2.522.138.408;1.028.810.408;2.522.138.408;2.632.446.242;2.522.138.408;3
130;1.495.980.623;1.520.907.958;1.348.823.529;1.577.358.353;2.522.138.408;10.523.856;2.407.642.284;2.522.138.408;1.013.375.903;2.522.138.408;2.469.228.997;2.522.138.408;3
131;1.550.523.183;1.540.228.374;1.411.706.574;157.549.164;2.522.138.408;10.500.015;2.300.690.616;2.522.138.408;1.043.511.225;2.522.138.408;2.344.865.882;2.522.138.408;3
132;1.326.999.308;1.347.256.747;1.127.467.128;199.332.746;2.522.138.408;10.258.416;2.684.689.301;2.522.138.408;1.351.457.606;2.522.138.408;2.901.495.059;2.522.138.408;3
133;1.289.828.374;1.323.706.574;1.070.182.699;1.512.692.498;2.522.138.408;10.642.773;3.524.703.405;2.522.138.408;8.994.868.651;2.522.138.408;3.467.072.484;2.522.138.408;3
134;1.363.612.457;1.371.096.194;1.154.470.588;1.416.849.952;2.522.138.408;1.051.833;2.566.080.927;2.522.138.408;9.586.551.557;2.522.138.408;2.509.716.706;2.522.138.408;3
135;1.449.144.637;1.430.379.239;1.242.235.294;1.441.715.142;2.522.138.408;10.451.694;2.198.754.602;2.522.138.408;1.015.549.453;2.522.138.408;2.158.242.159;2.522.138.408;3
136;1.497.360.554;147.919.308;1.287.559.862;1.464.375.336;2.522.138.408;10.459.628;219.327.164;2.522.138.408;1.012.573.066;2.522.138.408;2.137.496.595;2.522.138.408;3
137;1.525.447.751;1.506.171.626;1.335.204.152;1.504.475.017;2.522.138.408;10.480.629;2.341.654.699;2.522.138.408;1.008.927.336;2.522.138.408;2.295.878.865;2.522.138.408;3
138;1.578.206.228;1.540.827.682;1.400.397.232;1.556.412.388;2.522.138.408;10.422.366;2.389.955.516;2.522.138.408;1.070.640.775;2.522.138.408;2.460.384.651;2.522.138.408;3
139;1.624.517.647;1.545.717.647;1.434.644.983;1.560.288.595;2.522.138.408;10.449.021;2.489.898.381;2.522.138.408;1.054.195.737;2.522.138.408;2.639.953.938;2.522.138.408;3
140;1.598.191.003;1.541.713.495;1.409.402.076;1.549.986.408;2.522.138.408;10.465.074;2.531.014.187;2.522.138.408;1.031.417.384;2.522.138.408;2.686.973.855;2.522.138.408;3
141;1.584.080.277;154.410.519;1.410.029.066;1.548.449.052;2.522.138.408;10.483.622;2.584.209.716;2.522.138.408;1.024.520.803;2.522.138.408;2.709.552.803;2.522.138.408;3
142;1.583.482.353;1.532.034.602;1.405.043.599;1.560.934.367;2.522.138.408;10.502.733;2.599.259.474;2.522.138.408;1.038.956.429;2.522.138.408;2.640.760.789;2.522.138.408;3
143;1.573.547.405;1.520.359.862;1.397.310.727;1.561.718.076;2.522.138.408;10.518.463;2.359.457.896;2.522.138.408;1.027.092.484;2.522.138.408;2.418.995.585;2.522.138.408;3
144;1.573.793.772;1.548.620.069;143.132.872;1.558.024.872;2.522.138.408;10.513.907;237.695.301;2.522.138.408;1.035.274.893;2.522.138.408;2.414.209.772;2.522.138.408;3
145;1.397.595.848;1.399.623.529;1.185.262.284;2.156.441.495;2.522.138.408;10.234.412;2.709.325.509;2.522.138.408;1.471.010.782;2.522.138.408;3.033.028.609;2.522.138.408;3
147;1.395.415.917;1.430.387.543;1.186.841.522;1.440.586.381;2.522.138.408;10.587.879;2.823.470.727;2.522.138.408;9.246.220.484;2.522.138.408;2.817.170.242;2.522.138.408;3
148;1.406.491.349;1.455.609.689;1.222.856.747;147.041.182;2.522.138.408;10.637.014;2.718.151.626;2.522.138.408;9.106.567.751;2.522.138.408;2.626.190.118;2.522.138.408;3
149;1.416.764.014;1.476.786.159;1.240.708.651;1.520.175.626;2.522.138.408;10.678.525;2.720.621.149;2.522.138.408;8.964.090.242;2.522.138.408;2.595.060.471;2.522.138.408;3
150;1.429.076.817;1.494.516.263;125.266.436;1.550.877.218;2.522.138.408;10.686.693;2.818.280.318;2.522.138.408;8.985.486.367;2.522.138.408;2.659.352.125;2.522.138.408;3
151;1.450.563.322;1.511.438.062;1.271.523.875;1.602.328.097;2.522.138.408;1.066.507;3.020.559.737;2.522.138.408;9.224.772.318;2.522.138.408;2.936.824.678;2.522.138.408;3
152;1.502.422.145;1.545.934.948;1.322.085.813;1.600.801.412;2.522.138.408;10.581.068;2.875.992.042;2.522.138.408;986.847.128;2.522.138.408;2.965.543.903;2.522.138.408;3
153;1.564.200.692;1.555.786.851;1.371.558.478;1.596.307.003;2.522.138.408;10.594.597;2.933.515.128;2.522.138.408;9.809.418.408;2.522.138.408;3.066.547.723;2.522.138.408;3
154;1.550.866.436;1.561.505.882;1.368.937.024;1.574.780.872;2.522.138.408;10.638.223;3.084.011.848;2.522.138.408;9.510.880.692;2.522.138.408;3.163.643.336;2.522.138.408;3
155;1.529.887.889;1.555.231.834;1.358.145.329;1.594.317.232;2.522.138.408;10.583.395;2.958.225.453;2.522.138.408;997.319.737;2.522.138.408;299.576.555;2.522.138.408;3
156;1.530.698.962;1.557.570.934;1.357.817.301;1.633.555.986;2.522.138.408;10.539.372;2.777.205.965;2.522.138.408;1.067.310.824;2.522.138.408;2.823.881.979;2.522.138.408;3
157;1.569.399.308;1.561.904.498;1.394.394.464;1.615.075.474;2.522.138.408;10.475.676;2.563.525.606;2.522.138.408;1.097.878.505;2.522.138.408;2.614.647.599;2.522.138.408;3
158;1.487.431.142;1.476.808.304;127.577.301;2.007.734.685;2.522.138.408;10.298.288;2.784.003.502;2.522.138.408;1.386.296.512;2.522.138.408;3.088.319.765;2.522.138.408;3
159;1.399.979.239;1.443.789.619;1.208.723.875;149.543.027;2.522.138.408;10.543.443;3.026.411.502;2.522.138.408;9.730.098.131;2.522.138.408;3.147.248.858;2.522.138.408;3
161;1.463.975.087;150.686.782;1.270.478.893;1.491.983.529;2.522.138.408;10.653.195;2.900.730.547;2.522.138.408;9.256.706.436;2.522.138.408;2.885.399.585;2.522.138.408;3
162;1.446.415.225;1.498.531.488;1.270.091.349;1.509.905.633;2.522.138.408;10.709.955;2.834.017.689;2.522.138.408;8.923.196.955;2.522.138.408;2.732.472.734;2.522.138.408;3
163;14.408.609;1.509.187.543;1.267.806.228;154.315.074;2.522.138.408;10.692.641;2.816.710.325;2.522.138.408;9.011.807.474;2.522.138.408;2.659.048.097;2.522.138.408;3
164;1.431.597.232;1.517.828.374;1.256.885.813;1.582.995.696;2.522.138.408;10.683.559;2.966.001.869;2.522.138.408;9.177.170.381;2.522.138.408;2.817.416.623;2.522.138.408;3
165;1.450.889.965;1.554.758.478;12.655.391;1.617.608.083;2.522.138.408;10.710.957;3.291.313.744;2.522.138.408;9.021.967.474;2.522.138.408;323.103.045;2.522.138.408;3
166;1.481.547.405;1.554.589.619;1.296.992.388;1.587.971.972;2.522.138.408;10.688.169;321.463.499;2.522.138.408;9.264.094.948;2.522.138.408;3.245.843.945;2.522.138.408;3
167;1.485.415.917;1.549.604.152;1.302.220.069;1.570.137.149;2.522.138.408;10.688.603;3.262.179.017;2.522.138.408;9.249.540.208;2.522.138.408;3.284.214.851;2.522.138.408;3
168;1.519.332.872;155.927.474;1.334.816.609;159.210.281;2.522.138.408;10.629.619;3.313.469.107;2.522.138.408;9.696.650.796;2.522.138.408;333.733.791;2.522.138.408;3
169;1.525.770.242;1.568.282.353;1.354.885.813;1.492.401.924;2.522.138.408;105.292.635;2.447.042.588;2.522.138.408;1.027.499.958;2.522.138.408;2.492.796.969;2.522.138.408;3
170;1.555.609.689;1.535.645.675;1.388.103.806;1.534.431.211;2.522.138.408;10.448.681;2.268.093.024;2.522.138.408;1.097.440.498;2.522.138.408;2.346.624.152;2.522.138.408;3
171;1.647.194.464;1.586.661.592;1.477.696.886;1.577.243.986;2.522.138.408;10.191.248;1.963.213.509;2.522.138.408;1.248.141.149;2.522.138.408;2.107.611.903;2.522.138.408;3
172;1.561.395.156;1.571.916.955;1.400.328.028;151.098.328;2.522.138.408;1.023.424;1.978.242.962;2.522.138.408;1.200.332.983;2.522.138.408;2.151.721.702;2.522.138.408;3
173;1.553.461.592;157.769.827;1.374.602.076;1.488.240.526;2.522.138.408;10.398.869;2.494.345.592;2.522.138.408;1.110.037.744;2.522.138.408;2.657.805.827;2.522.138.408;3
174;1.537.442.215;1.557.916.955;1.361.065.744;1.466.469.702;2.522.138.408;104.654.665;2.540.211.045;2.522.138.408;1.076.592.152;2.522.138.408;2.643.868.761;2.522.138.408;3
175;1.540.501.038;1.566.361.246;1.368.894.118;1.490.444.111;2.522.138.408;10.494.643;2.525.787.986;2.522.138.408;1.045.131.889;2.522.138.408;2.538.805.246;2.522.138.408;3
176;1.531.141.869;1.541.811.765;1.376.953.633;1.488.800.138;2.522.138.408;10.529.148;2.496.931.114;2.522.138.408;9.988.579.792;2.522.138.408;2.406.178.616;2.522.138.408;3
177;1.537.568.166;1.521.147.405;1.407.469.896;1.502.928.775;2.522.138.408;10.483.192;2.430.545.619;2.522.138.408;1.010.764.332;2.522.138.408;2.336.639.557;2.522.138.408;3
178;157.123.737;1.556.514.879;142.049.827;1.577.856.097;2.522.138.408;10.467.803;2.524.853.855;2.522.138.408;104.707.773;2.522.138.408;2.519.329.135;2.522.138.408;3
179;1.606.193.772;1.583.862.976;1.461.694.118;1.643.042.381;2.522.138.408;10.453.708;2.758.987.322;2.522.138.408;1.091.636.125;2.522.138.408;2.842.447.529;2.522.138.408;3
180;160.353.218;1.601.712.111;1.453.288.581;1.548.381.495;2.522.138.408;1.047.085;261.112.526;2.522.138.408;1.065.928.512;2.522.138.408;273.004.573;2.522.138.408;3
181;1.564.346.021;154.940.346;1.393.278.893;1.409.467.516;2.522.138.408;10.448.449;22.266.449;2.522.138.408;1.039.549.481;2.522.138.408;2.305.581.952;2.522.138.408;3
182;1.560.632.526;1.509.313.495;1.419.792.388;1.437.874.021;2.522.138.408;10.456.402;2.284.267.419;2.522.138.408;1.051.840.567;2.522.138.408;2.343.891.543;2.522.138.408;3
187;152.973.564;1.507.251.211;1.356.247.751;1.468.367.709;2.522.138.408;10.359.189;20.074.849;2.522.138.408;1.140.086.574;2.522.138.408;2.072.988.125;2.522.138.408;3
188;1.562.458.131;1.499.446.367;1.353.039.446;147.540.901;2.522.138.408;103.867.235;1.983.083.405;2.522.138.408;1.136.026.713;2.522.138.408;2.014.687.294;2.522.138.408;3
189;1.558.413.841;145.16;1.350.213.149;1.549.661.772;2.522.138.408;10.418.855;1.905.199.696;2.522.138.408;1.149.700.166;2.522.138.408;1.939.583.958;2.522.138.408;3
190;1.492.567.474;1.420.556.401;1.276.350.173;1.669.058.588;2.522.138.408;10.465.674;1.985.214.007;2.522.138.408;1.145.686.076;2.522.138.408;2.057.116.042;2.522.138.408;3
191;1.460.669.896;1.408.513.495;1.232.889.965;1.600.606.948;2.522.138.408;1.040.111;1.783.800.872;2.522.138.408;1.153.582.533;2.522.138.408;1.824.206.145;2.522.138.408;3
194;142.459.654;1.327.835.294;1.207.510.035;1.986.805.578;2.522.138.408;10.281.086;2.064.834.547;2.522.138.408;1.425.538.851;2.522.138.408;1.801.175.779;2.522.138.408;3
195;1.454.989.619;136.019.654;1.195.385.467;2.179.780.775;2.522.138.408;10.008.711;1.697.962.782;2.522.138.408;1.824.357.952;2.522.138.408;1.471.125.606;2.522.138.408;3
198;1.545.936.332;1.495.944.637;1.400.386.159;1.495.131.336;2.522.138.408;10.506.118;2.384.529.758;2.522.138.408;1.047.384.346;2.522.138.408;2.440.687.765;2.522.138.408;3
199;1.556.881.661;149.262.699;1.380.106.574;1.491.443.308;2.522.138.408;10.361.114;2.044.753.633;2.522.138.408;1.137.148.526;2.522.138.408;2.125.363.405;2.522.138.408;3
200;1.549.634.602;1.500.862.284;1.349.338.408;143.918.883;2.522.138.408;10.359.122;1.904.425.882;2.522.138.408;1.133.083.363;2.522.138.408;1.948.519.516;2.522.138.408;3
201;1.554.094.118;1.442.624.221;1.355.245.675;1.512.557.163;2.522.138.408;10.365.187;1.861.227.848;2.522.138.408;1.162.298.394;2.522.138.408;1.898.775.197;2.522.138.408;3
202;1.487.276.125;1.386.747.405;1.282.546.713;1.590.970.381;2.522.138.408;10.386.309;1.820.424.166;2.522.138.408;1.197.008.346;2.522.138.408;1.851.142.021;2.522.138.408;3
203;1.453.832.526;1.374.721.107;1.231.226.298;156.774.764;2.522.138.408;10.396.675;1.728.939.806;2.522.138.408;117.697.092;2.522.138.408;1.740.945.702;2.522.138.408;3
204;1.447.079.585;1.374.359.862;120.533.564;1.557.983.958;2.522.138.408;10.267.897;1.493.506.242;2.522.138.408;1.212.452.014;2.522.138.408;1.482.126.131;2.522.138.408;3
205;1.422.729.412;1.326.370.934;1.186.985.467;1.594.716.512;2.522.138.408;10.341.207;1.636.254.256;2.522.138.408;119.832.526;2.522.138.408;1.592.047.972;2.522.138.408;3
206;1.393.395.156;1.324.656.055;1.174.388.927;1.846.342.422;2.522.138.408;10.372.368;1.954.123.308;2.522.138.408;1.268.226.242;2.522.138.408;1.850.116.886;2.522.138.408;3
208;1.665.699.654;1.548.189.619;1.518.744.637;1.433.690.381;2.522.138.408;1.037.894;2.125.146.948;2.522.138.408;1.088.469.509;2.522.138.408;2.236.277.647;2.522.138.408;3
209;1.610.960.554;150.743.391;1.462.235.294;1.410.235.363;2.522.138.408;10.442.882;2.282.699.211;2.522.138.408;1.044.643.709;2.522.138.408;2.353.586.685;2.522.138.408;3
210;1.555.943.253;1.459.645.675;1.417.786.851;1.430.481.689;2.522.138.408;10.492.236;2.383.388.678;2.522.138.408;1.020.239.986;2.522.138.408;2.404.329.163;2.522.138.408;3
211;1.538.347.405;1.468.089.965;1.368.524.567;1.513.533.924;2.522.138.408;10.432.647;2.194.927.696;2.522.138.408;1.093.629.412;2.522.138.408;2.275.966.907;2.522.138.408;3
212;1.514.523.183;1.466.888.581;1.340.981.315;1.421.376.734;2.522.138.408;10.386.473;1.846.361.329;2.522.138.408;1.105.671.571;2.522.138.408;1.912.105.606;2.522.138.408;3
213;150.360.692;1.436.829.066;1.327.078.201;1.432.968.069;2.522.138.408;10.377.773;1.770.746.021;2.522.138.408;1.121.050.907;2.522.138.408;183.395.701;2.522.138.408;3
214;1.470.881.661;1.382.597.924;1.280.903.806;1.555.750.713;2.522.138.408;10.398.535;1.842.308.069;2.522.138.408;1.166.771.751;2.522.138.408;1.889.013.066;2.522.138.408;3
215;1.472.968.858;1.356.388.927;1.253.712.111;1.561.447.142;2.522.138.408;10.443.683;1.817.875.239;2.522.138.408;1.135.873.813;2.522.138.408;1.829.635.682;2.522.138.408;3
216;1.469.984.775;1.363.146.021;1.229.184.775;1.579.071.363;2.522.138.408;102.475.195;1.489.949.121;2.522.138.408;1.251.618.768;2.522.138.408;1.523.536.111;2.522.138.408;3
217;1.415.817.301;135.076.263;1.204.632.526;1.631.176.609;2.522.138.408;10.461.202;1.867.257.093;2.522.138.408;1.129.779.792;2.522.138.408;1.898.554.422;2.522.138.408;3
218;1.449.528.028;1.348.208.997;1.217.011.765;2.069.557.218;2.522.138.408;10.341.888;1.993.601.702;2.522.138.408;1.486.418.644;2.522.138.408;2.053.632.761;2.522.138.408;3
220;1.626.582.699;1.532.689.273;1.479.653.979;1.439.386.588;2.522.138.408;10.431.665;229.459.355;2.522.138.408;1.065.557.564;2.522.138.408;2.395.756.789;2.522.138.408;3
221;1.598.971.626;1.491.879.585;1.425.508.651;1.422.373.343;2.522.138.408;10.475.876;2.413.625.924;2.522.138.408;103.467.146;2.522.138.408;2.492.051.405;2.522.138.408;3
222;1.563.346.713;1.481.529.412;1.385.374.394;1.422.836.318;2.522.138.408;10.435.443;2.279.628.332;2.522.138.408;1.053.323.183;2.522.138.408;2.332.321.398;2.522.138.408;3
223;1.513.788.235;1.447.493.426;1.348.178.547;1.522.348.789;2.522.138.408;10.466.343;2.293.083.017;2.522.138.408;1.072.846.561;2.522.138.408;2.349.735.599;2.522.138.408;3
224;1.483.370.242;1.434.340.484;1.345.098.962;1.422.248.111;2.522.138.408;10.483.334;192.294.901;2.522.138.408;1.046.801.979;2.522.138.408;1.990.064.457;2.522.138.408;3
225;1.502.632.526;1.457.474.048;1.342.649.135;1.419.970.713;2.522.138.408;104.928;1.889.014.298;2.522.138.408;1.033.922.021;2.522.138.408;193.843.254;2.522.138.408;3
226;1.467.619.377;1.380.680.969;1.292.853.979;1.488.523.585;2.522.138.408;10.537.511;2.046.223.626;2.522.138.408;1.039.139.211;2.522.138.408;2.037.603.571;2.522.138.408;3
227;1.425.407.612;1.342.653.287;1.225.247.059;152.612.054;2.522.138.408;10.431.026;1.801.283.543;2.522.138.408;1.112.800.138;2.522.138.408;1.782.121.799;2.522.138.408;3
228;1.430.784.775;1.352.513.495;120.384.083;1.460.314.215;2.522.138.408;10.382.523;1.597.026.907;2.522.138.408;1.134.885.979;2.522.138.408;159.899.874;2.522.138.408;3
229;1.383.910.035;1.326.950.865;1.162.888.581;1.554.085.453;2.522.138.408;10.415.656;1.724.695.543;2.522.138.408;1.148.696.125;2.522.138.408;1.753.488.277;2.522.138.408;3
230;1.469.947.405;1.354.343.253;1.238.784.775;2.016.441.896;2.522.138.408;10.317.336;197.888.526;2.522.138.408;1.485.624.263;2.522.138.408;206.196.699;2.522.138.408;3
232;1.615.195.848;1.541.659.516;1.453.291.349;1.413.121.813;2.522.138.408;10.556.939;2.540.480.609;2.522.138.408;9.868.920.277;2.522.138.408;253.870.573;2.522.138.408;3
234;150.179.654;144.709.481;1.343.550.173;1.450.024.318;2.522.138.408;10.542.381;2.608.236.125;2.522.138.408;978.022.519;2.522.138.408;2.625.370.671;2.522.138.408;3
235;1.504.370.934;1.439.629.066;1.350.279.585;1.528.412.083;2.522.138.408;10.448.482;2.315.746.311;2.522.138.408;1.059.380.803;2.522.138.408;2.357.184.844;2.522.138.408;3
236;1.516.034.602;1.458.842.907;1.377.748.097;1.677.770.574;2.522.138.408;10.504.348;2.663.664.471;2.522.138.408;1.072.358.339;2.522.138.408;2.739.992.581;2.522.138.408;3
237;1.473.504.498;1.450.539.792;1.337.017.301;1.865.129.785;2.522.138.408;10.569.571;2.937.944.927;2.522.138.408;1.104.006.713;2.522.138.408;3.070.467.114;2.522.138.408;3
238;1.382.513.495;1.345.180.623;1.232.415.225;1.921.851.751;2.522.138.408;10.635.171;3.096.026.464;2.522.138.408;1.086.831.668;2.522.138.408;3.126.417.315;2.522.138.408;3
239;1.337.541.869;1.305.417.301;119.503.391;1.709.021.066;2.522.138.408;10.568.055;275.143.272;2.522.138.408;1.059.888.997;2.522.138.408;2.478.977.661;2.522.138.408;3
240;1.322.728.028;1.299.802.076;1.151.778.547;171.988.645;2.522.138.408;104.523.735;2.509.709.993;2.522.138.408;1.278.796.318;2.522.138.408;2.355.870.699;2.522.138.408;3
241;1.356.099.654;1.311.757.785;1.176.329.412;1.679.180.567;2.522.138.408;10.404.914;2.179.408.069;2.522.138.408;1.266.012.941;2.522.138.408;2.163.627.696;2.522.138.408;3
242;1.355.943.253;1.275.480.969;117.579.654;1.857.496.789;2.522.138.408;10.501.437;2.628.436.747;2.522.138.408;1.269.800.858;2.522.138.408;2.626.636.969;2.522.138.408;3
244;1.602.222.837;1.569.337.024;1.467.522.491;1.665.177.744;2.522.138.408;10.503.859;3.137.918.893;2.522.138.408;1.087.602.159;2.522.138.408;306.871.481;2.522.138.408;3
245;1.493.457.439;1.472.914.879;1.346.408.304;1.499.344.221;2.522.138.408;10.675.793;3.426.885.038;2.522.138.408;8.843.977.439;2.522.138.408;331.965.128;2.522.138.408;3
246;1.415.966.782;1.468.217.301;1.251.957.093;168.012.472;2.522.138.408;10.661.491;3.648.434.394;2.522.138.408;9.404.589.481;2.522.138.408;3.744.041.439;2.522.138.408;3
247;1.372.013.841;1.412.179.931;1.224.298.962;173.477.791;2.522.138.408;10.606.892;358.524.681;2.522.138.408;1.019.615.391;2.522.138.408;3.719.510.145;2.522.138.408;3
249;1.512.181.315;1.501.015.917;1.392.073.356;1.820.580.235;2.522.138.408;10.407.459;2.353.599.253;2.522.138.408;123.798.036;2.522.138.408;248.843.517;2.522.138.408;3
250;1.508.578.547;1.553.105.882;1.324.084.429;2.003.435.003;2.522.138.408;10.635.487;3.211.025.827;2.522.138.408;1.119.941.398;2.522.138.408;3.298.325.619;2.522.138.408;3
251;1.543.479.585;158.236.263;1.256.040.138;1.814.771.266;2.522.138.408;10.617.678;3.183.068.221;2.522.138.408;1.189.255.889;2.522.138.408;2.917.282.519;2.522.138.408;3
252;1.511.504.498;1.566.119.031;1.241.105.882;2.098.455.543;2.522.138.408;10.056.976;2.596.893.204;2.522.138.408;2.742.832.692;2.522.138.408;2.639.133.121;2.522.138.408;3
253;1.342.441.522;1.397.707.958;116.760.692;20.344.369;2.522.138.408;9.985.298;2.421.902.602;2.522.138.408;2.897.036.706;2.522.138.408;2.497.707.945;2.522.138.408;3
256;1.690.752.941;160.273.218;1.555.601.384;1.594.367.336;2.522.138.408;102.199;2.104.215.958;2.522.138.408;1.277.774.519;2.522.138.408;2.257.424.581;2.522.138.408;3
257;1.628.193.772;1.573.799.308;1.512.185.467;1.495.988.028;2.522.138.408;10.231.563;1.920.966.284;2.522.138.408;1.240.652.235;2.522.138.408;2.099.145.799;2.522.138.408;3
258;1.615.072.664;1.573.529.412;1.475.832.526;1.425.053.661;2.522.138.408;10.330.729;2.048.765.218;2.522.138.408;1.163.690.879;2.522.138.408;2.200.981.218;2.522.138.408;3
259;1.601.133.564;1.568.798.616;1.460.470.588;1.408.361.522;2.522.138.408;10.355.507;2.046.560.221;2.522.138.408;11447.72;2.522.138.408;2.167.799.225;2.522.138.408;3
260;1.610.466.436;1.558.866.436;1.477.330.104;1.404.748.304;2.522.138.408;10.335.524;1.937.336.651;2.522.138.408;1.128.181.121;2.522.138.408;1.997.796.803;2.522.138.408;3
261;1.563.338.408;1.514.465.052;1.430.878.893;1.394.350.159;2.522.138.408;10.419.188;2.019.036.332;2.522.138.408;1.035.816.208;2.522.138.408;1.969.492.042;2.522.138.408;3
264;1.611.442.215;1.559.255.363;147.576.609;1.583.002.104;2.522.138.408;10.365.766;2.251.094.851;2.522.138.408;1.127.643.848;2.522.138.408;2.337.153.246;2.522.138.408;3
265;167.782.699;1.612.462.284;1.531.253.979;1.466.135.709;2.522.138.408;10.343.701;2.043.391.889;2.522.138.408;1.116.401.979;2.522.138.408;2.164.806.215;2.522.138.408;3
269;1.697.940.484;1.603.586.159;1.510.167.474;1.596.103.751;2.522.138.408;10.322.428;2.348.395.211;2.522.138.408;1.262.261.564;2.522.138.408;2.492.501.384;2.522.138.408;3
277;1.551.875.433;1.504.189.619;1.432.937.024;1.517.110.256;2.522.138.408;1.043.914;244.144.292;2.522.138.408;10.632.249;2.522.138.408;2.443.858.768;2.522.138.408;3
278;1.650.429.066;1.583.364.706;1.504.747.405;144.076.418;2.522.138.408;10.336.782;2.071.016.789;2.522.138.408;1.110.685.232;2.522.138.408;2.168.086.159;2.522.138.408;3
282;1.640.779.239;1.565.209.689;1.428.955.017;1.615.298.325;2.522.138.408;10.352.104;2.415.594.505;2.522.138.408;1.256.106.187;2.522.138.408;2.568.335.391;2.522.138.408;3
283;1.625.180.623;1.558.532.872;1.456.750.173;1.475.787.377;2.522.138.408;10.394.989;2.214.652.526;2.522.138.408;11.763.471;2.522.138.408;2.326.402.478;2.522.138.408;3
284;1.596.262.976;1.539.007.612;1.438.398.616;1.437.139.682;2.522.138.408;104.038.725;2.290.003.502;2.522.138.408;116.922.292;2.522.138.408;2.404.132.955;2.522.138.408;3
292;1.596.321.107;147.793.218;1.439.404.844;1.420.954.685;2.522.138.408;10.623.626;2.859.174.062;2.522.138.408;9.463.661.869;2.522.138.408;2.845.354.574;2.522.138.408;3
295;1.630.892.734;1.571.869.896;1.382.873.356;1.621.762.325;2.522.138.408;10.397.263;262.605.928;2.522.138.408;1.205.426.173;2.522.138.408;2.781.771.474;2.522.138.408;3
296;1.584.877.509;1.527.910.035;140.689.827;1.530.525.993;2.522.138.408;1.038.813;2.271.616.194;2.522.138.408;1.141.224.595;2.522.138.408;2.390.676.263;2.522.138.408;3
297;1.574.420.761;1.523.817.301;1.394.466.436;1.499.621.993;2.522.138.408;10.508.828;2.657.597.163;2.522.138.408;108.585.982;2.522.138.408;2.701.636.194;2.522.138.408;3
298;1.542.016.609;1.503.896.194;1.361.775.779;146.564.054;2.522.138.408;10.451.397;2.519.851.474;2.522.138.408;1.149.204.388;2.522.138.408;2.612.771.543;2.522.138.408;3
299;1.580.311.419;1.514.188.235;1.412.069.204;1.407.216.028;2.522.138.408;10.435.624;244.081.319;2.522.138.408;1.143.082.837;2.522.138.408;2.547.279.128;2.522.138.408;3
300;1.546.909.343;1.486.019.377;1.380.052.595;1.396.101.785;2.522.138.408;10.408.602;2.386.114.851;2.522.138.408;1.131.869.661;2.522.138.408;2.485.836.747;2.522.138.408;3
301;1.484.871.972;1.452.614.533;1.332.579.931;1.389.116.692;2.522.138.408;10.459.797;243.203.474;2.522.138.408;103.401.946;2.522.138.408;2.452.391.668;2.522.138.408;3
302;1.453.688.581;1.449.973.702;1.309.802.076;1.405.344.401;2.522.138.408;10.512.482;241.155.827;2.522.138.408;9.757.068.651;2.522.138.408;236.231.009;2.522.138.408;3
305;1.571.046.367;151.919.308;1.418.181.315;1.668.633.121;2.522.138.408;10.577.389;3.473.379.059;2.522.138.408;1.045.718.824;2.522.138.408;3.407.251.003;2.522.138.408;3
