No,rgb_b1,rgb_b2,rgb_b3,green_b1,green_b2,ndvi_b1,nir_b1,nir_b2,red_b1,red_b2,redEdge_b1,redEdge_b2,Label
506,165.6204844,154.8816609,141.8483045,15643.72401,154.8816609,9.267579,23213.27848,252.5107266,12871.24595,252.5107266,24503.54782,252.5107266,3
507,166.6210381,157.4651903,143.8261592,16162.67114,157.4651903,9.317764,25632.23225,252.5107266,12540.39654,252.5107266,26778.89038,252.5107266,3
508,169.3725952,160.0161938,153.5442215,15349.9564,160.0161938,9.503041,19917.56,252.4193772,12974.07114,252.4193772,21587.07197,252.4193772,?
509,155.0445675,145.803045,124.5986159,16629.37772,145.803045,9.734109,23443.1301,252.4193772,11620.04263,252.4193772,27628.35349,252.4193772,?
510,160.663391,149.6930104,132.3410381,17121.15958,149.6930104,9.367171,22706.85965,252.5107266,12373.35087,252.5107266,27030.08512,252.5107266,3
511,159.9191696,146.0312803,129.7051903,17914.67419,146.0312803,9.287457,24120.31931,252.5107266,13007.73938,252.5107266,28391.23502,252.5107266,3
512,154.2405536,143.3703806,124.3483737,16873.18962,143.3703806,9.263907,22064.42491,252.5107266,13152.28235,252.5107266,24937.87654,252.5107266,3
513,151.3984775,141.5144637,121.106436,15965.33924,141.5144637,9.362197,24760.76471,252.5107266,12047.92346,252.5107266,26368.74436,252.5107266,3
514,153.9219377,144.1795156,123.5555709,15572.37536,144.1795156,9.338016,24104.58464,252.5107266,12105.94422,252.5107266,26110.48734,252.5107266,3
515,148.8408304,142.4002768,118.0390311,15324.49246,142.4002768,9.345053,24378.51862,252.5107266,11946.37924,252.5107266,26425.18478,252.5107266,3
516,153.3546021,147.2937024,125.2669896,15242.30478,147.2937024,9.395498,26017.33467,252.5107266,11482.0508,252.5107266,27555.05107,252.5107266,3
517,157.3194464,147.8011073,126.4334948,15486.21093,147.8011073,9.327008,24841.65066,252.5107266,12161.91405,252.5107266,26091.61329,252.5107266,3
518,163.8492734,152.5404844,135.9851903,15451.62131,152.5404844,9.332543,24864.81979,252.5107266,12295.72581,252.5107266,25784.24927,252.5107266,3
519,166.4779239,157.8408304,141.1115571,16082.7027,157.8408304,9.268588,24036.25343,252.5107266,13047.91848,252.5107266,25460.55848,252.5107266,3
520,162.7738408,155.3157093,144.4386159,15491.14007,155.3157093,9.642525,23450.62298,252.4193772,11850.1892,252.4193772,24753.57993,252.4193772,?
521,153.775917,144.3195848,125.9893426,16202.4526,144.3195848,9.713587,22208.87862,252.4193772,11609.55723,252.4193772,26879.32498,252.4193772,?
522,156.7360554,149.6329412,128.1631834,18753.97578,149.6329412,9.294737,24242.02048,252.5107266,14178.46422,252.5107266,29448.52803,252.5107266,3
523,155.3043599,143.8906574,126.0455363,17904.48194,143.8906574,9.315086,25044.61522,252.5107266,12868.43626,252.5107266,28871.8937,252.5107266,3
524,153.1327336,142.6902422,123.1842215,17086.16747,142.6902422,9.338606,23520.93481,252.5107266,12656.88111,252.5107266,26097.70879,252.5107266,3
525,152.0157785,143.3303806,121.67391,16535.67059,143.3303806,9.348223,25089.25218,252.5107266,12411.07322,252.5107266,26722.44208,252.5107266,3
526,153.8744637,144.4501038,123.070173,15829.34616,144.4501038,9.36954,25680.4227,252.5107266,11952.18505,252.5107266,27488.88484,252.5107266,3
527,152.7122491,145.1285813,122.0934256,15844.57827,145.1285813,9.294607,23900.12415,252.5107266,12517.08983,252.5107266,26300.63433,252.5107266,3
528,152.8390311,145.9792388,123.9820069,15483.86159,145.9792388,9.366554,25799.04208,252.5107266,11760.4746,252.5107266,27804.31529,252.5107266,3
529,156.9807612,148.3130796,126.2924567,15840.9218,148.3130796,9.315726,25918.78602,252.5107266,12177.96028,252.5107266,27816.40042,252.5107266,3
530,158.5363322,146.1420069,125.5514187,15991.88927,146.1420069,9.332103,26516.25218,252.5107266,12279.63308,252.5107266,27842.96886,252.5107266,3
531,168.4690657,159.0714187,139.6442907,15898.29384,159.0714187,9.305171,24870.79751,252.5107266,12252.14907,252.5107266,26382.33024,252.5107266,3
532,160.2537024,153.4034602,140.9371626,16193.80803,153.4034602,9.313281,25547.54699,252.5107266,11739.98713,252.5107266,27045.33343,252.5107266,3
533,168.8638062,156.6614533,135.6152249,16292.81675,156.6614533,9.772295,24656.16997,252.4193772,11148.39875,252.4193772,29804.009,252.4193772,?
534,161.4272664,155.9633218,131.2365398,17211.54644,155.9633218,9.443415,26273.42948,252.5107266,11666.22215,252.5107266,32022.09093,252.5107266,3
535,157.5717647,150.1608304,127.2878893,17137.87696,150.1608304,9.384007,26003.48969,252.5107266,12209.36913,252.5107266,29412.44014,252.5107266,3
536,159.64,150.7771626,127.7807612,17034.91114,150.7771626,9.273926,22627.51391,252.5107266,13267.46062,252.5107266,24972.87363,252.5107266,3
537,157.3013149,149.3191696,124.2550865,17136.36734,149.3191696,9.216089,22303.90782,252.5107266,13738.80208,252.5107266,24225.93439,252.5107266,3
538,160.0817993,149.8856747,128.3831142,17203.70311,149.8856747,9.173605,22825.6937,252.5107266,13967.18837,252.5107266,25191.77287,252.5107266,3
539,157.4887197,148.5503114,125.8152249,16535.49301,148.5503114,9.223184,23631.15571,252.5107266,13178.29785,252.5107266,26320.31045,252.5107266,3
540,155.1265052,148.5407612,125.0646367,16930.51682,148.5407612,9.103954,22226.53938,252.5107266,14496.08651,252.5107266,25560.45356,252.5107266,3
541,160.3709343,150.6251903,130.7281661,17156.64554,150.6251903,9.091166,22006.61758,252.5107266,14705.3009,252.5107266,25272.76734,252.5107266,3
542,160.8503806,148.9558478,128.4204844,17493.78782,148.9558478,9.081371,22762.17315,252.5107266,15276.85979,252.5107266,25663.11502,252.5107266,3
543,167.4312803,152.7223529,136.1173702,16952.23737,152.7223529,9.097585,22083.95654,252.5107266,14291.50644,252.5107266,24367.63654,252.5107266,3
544,162.9522491,157.1645675,139.2488581,16761.86076,157.1645675,9.132179,22426.5409,252.5107266,13125.26907,252.5107266,24412.41398,252.5107266,3
